"Ville","Région Belgique","Response","Sandwicherie p1","Distance to Tournai","Distance à Tournai","Distance à Tournai Distance","Write to Other Table"
"Cheratte","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue aux Communes 57, 4602 Visé,BEL",,,"Created 10 records in table ""Full_Table"""
"Chercq","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Calonne 110, 7521 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Chevetogne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Pîrchamps 1, 5590 Ciney,BEL",,,"Created 10 records in table ""Full_Table"""
"Chevron","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Stavelot 8a, 4190 Ferrières,BEL",,,"Created 10 records in table ""Full_Table"""
"Chièvres","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Place 24, 7950 Chièvres,BEL",,,"Created 10 records in table ""Full_Table"""
"Chimay","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Virelles 18A, 6460 Chimay,BEL",,,"Created 10 records in table ""Full_Table"""
"Chiny","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Millénaire 21, 6810 Chiny,BEL",,,"Created 10 records in table ""Full_Table"""
"Chokier","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Chokier 72, 4400 Flémalle,BEL",,,"Created 6 records in table ""Full_Table"""
"Ciergnon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chem. de la Collyre 5, 5560 Houyet,BEL",,,"Created 6 records in table ""Full_Table"""
"Ciney","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Ctre 21, 5590 Ciney,BEL",,,"Created 10 records in table ""Full_Table"""
"Ciplet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de l'Europe 5, 4260 Braives,BEL",,,"Created 10 records in table ""Full_Table"""
"Ciply","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Robiniers 51, 7024 Mons,BEL",,,"Created 10 records in table ""Full_Table"""
"Clabecq","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Mons 18, 1480 Tubize,BEL",,,"Created 10 records in table ""Full_Table"""
"Clavier","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Sur fosse 26, 4560 Clavier,BEL",,,"Created 6 records in table ""Full_Table"""
"Clermont (Liège)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Saint-Gilles 1, 4000 Liège,BEL",,,"Created 10 records in table ""Full_Table"""
"Clermont (Namur)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Abbé Joseph André 3, 5000 Namur,BEL",,,"Created 10 records in table ""Full_Table"""
"Clermont-sous-Huy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Chokier 72, 4400 Flémalle,BEL",,,"Created 10 records in table ""Full_Table"""
"Cognelée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 917, 5022 Namur,BEL",,,"Created 1 records in table ""Full_Table"""
"Colfontaine","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte Provinciale 42, 7340 Colfontaine,BEL",,,"Created 10 records in table ""Full_Table"""
"Comblain-au-Pont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Leblanc 4, 4170 Comblain-au-Pont,BEL",,,"Created 10 records in table ""Full_Table"""
"Comblain-Fairon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Fairon, 4180,BEL",,,"Created 10 records in table ""Full_Table"""
"Comblain-la-Tour","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Fairon, 4180,BEL",,,"Created 10 records in table ""Full_Table"""
"Comines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Gare 4, 7780 Comines-Warneton,BEL",,,"Created 6 records in table ""Full_Table"""
"Comines-Warneton","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Gare 4, 7780 Comines-Warneton,BEL",,,"Created 10 records in table ""Full_Table"""
"Conneux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Parc Industriel d'Achêne 6, 5590 Ciney,BEL",,,"Created 10 records in table ""Full_Table"""
"Bruxelles-Capitale","bruxelles-capitale","bruxelles-capitale",,"https://fr.distance.to/Tournai,BEL/",,,
"Corbais","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Route 67, 1435 Mont-Saint-Guibert,BEL",,,"Created 10 records in table ""Full_Table"""
"Corbion","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Hate 1, 6838 Bouillon,BEL",,,"Created 10 records in table ""Full_Table"""
"Cordes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Haute 1, 7911 Frasnes-lez-Anvaing,BEL",,,"Created 10 records in table ""Full_Table"""
"Corenne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Verte 6, 5620 Florennes,BEL",,,"Created 10 records in table ""Full_Table"""
"Cornesse","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Neuve 90, 4860 Pepinster,BEL",,,"Created 10 records in table ""Full_Table"""
"Cornimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Cornimont 13, 5550 Bièvre,BEL",,,"Created 2 records in table ""Full_Table"""
"Corroy-le-Château","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Léopold 21, 5030 Gembloux,BEL",,,"Created 10 records in table ""Full_Table"""
"Corroy-le-Grand","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Corroy 3, 1325 Chaumont-Gistoux,BEL",,,"Created 10 records in table ""Full_Table"""
"Corswarem","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Casino 19, 4300 Waremme,BEL",,,"Created 10 records in table ""Full_Table"""
"Cortil-Noirmont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Vieille 9, 1450 Chastre,BEL",,,"Created 10 records in table ""Full_Table"""
"Cortil-Wodon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Grand Champ 3, 5380 Fernelmont,BEL",,,"Created 10 records in table ""Full_Table"""
"Couillet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Philippeville 315, 6010 Charleroi,BEL",,,"Created 10 records in table ""Full_Table"""
"Courcelles","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Winston Churchill 36, 6180 Courcelles,BEL",,,"Created 10 records in table ""Full_Table"""
"Courrière","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Luxembourg, 5336 Assesse,BEL",,,"Created 10 records in table ""Full_Table"""
"Cour-sur-Heure","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Station 13, 6120 Ham-sur-Heure-Nalinnes,BEL",,,"Created 10 records in table ""Full_Table"""
"Court-Saint-Etienne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. des Combattants 43, 1490 Court-Saint-Étienne,BEL",,,"Created 10 records in table ""Full_Table"""
"Couthuin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Communale 5, 4218 Héron,BEL",,,"Created 10 records in table ""Full_Table"""
"Coutisse","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Tramaka 39, 5300 Andenne,BEL",,,"Created 10 records in table ""Full_Table"""
"Couture-Saint-Germain","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. des Moissons 4, 1360 Perwez,BEL",,,"Created 10 records in table ""Full_Table"""
"Couvin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Bercet 23, 5660 Couvin,BEL",,,"Created 8 records in table ""Full_Table"""
"Cras-Avernas","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Huy 103C, 4280 Hannut,BEL",,,"Created 10 records in table ""Full_Table"""
"Crehen","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Huy 103C, 4280 Hannut,BEL",,,"Created 10 records in table ""Full_Table"""
"Crisnée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Route 61, 4367 Crisnée,BEL",,,"Created 10 records in table ""Full_Table"""
"Croix-lez-Rouveroy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Waressaix 7, 7120,BEL",,,"Created 10 records in table ""Full_Table"""
"Crombach","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Hauptstraße 77, 4780 St. Vith,BEL",,,"Created 10 records in table ""Full_Table"""
"Crupet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Basse 32, 5332,BEL",,,"Created 10 records in table ""Full_Table"""
"Cuesmes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Cuesmes 38, 7033 Mons,BEL",,,"Created 10 records in table ""Full_Table"""
"Cugnon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Forteresse 62, 6880 Bertrix,BEL",,,"Created 7 records in table ""Full_Table"""
"Cul-des-Sarts","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Bercet 23, 5660 Couvin,BEL",,,"Created 10 records in table ""Full_Table"""
"Custinne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 152, 5500 Dinant,BEL",,,"Created 10 records in table ""Full_Table"""
"Dadizele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dailly","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Loresse 10/2, 5660 Couvin,BEL",,,"Created 10 records in table ""Full_Table"""
"Daknam","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dalhem","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Pass. d'Eau 1D, 4681 Oupeye,BEL",,,"Created 10 records in table ""Full_Table"""
"Damme","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dampicourt","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Ste Anne 1, 6767 Rouvroy,BEL",,,"Created 10 records in table ""Full_Table"""
"Dampremy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Dampremy 74, 6000 Charleroi,BEL",,,"Created 10 records in table ""Full_Table"""
"Darion","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Huy 103C, 4280 Hannut,BEL",,,"Created 10 records in table ""Full_Table"""
"Daussois","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Villers, 5630 Cerfontaine,BEL",,,"Created 10 records in table ""Full_Table"""
"Daussoulx","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 917, 5022 Namur,BEL",,,"Created 10 records in table ""Full_Table"""
"Dave","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Notre Dame de la Paix 10, 5101 Namur,BEL",,,"Created 10 records in table ""Full_Table"""
"Daverdisse","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Porcheresse 3, 6929 Daverdisse,BEL",,,"Created 10 records in table ""Full_Table"""
"De Haan","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"De Klinge","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"De Moeren","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"De Panne","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"De Pinte","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Deerlijk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Deftinge","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Deinze","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Denderbelle","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Denderhoutem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Denderleeuw","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dendermonde","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Denderwindeke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Denée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Maharenne 8, 5537,BEL",,,"Created 10 records in table ""Full_Table"""
"Dentergem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dergneau","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Haute 1, 7911 Frasnes-lez-Anvaing,BEL",,,"Created 10 records in table ""Full_Table"""
"Dessel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Desselgem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Destelbergen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Desteldonk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Deurle","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Deurne (Antwerpen)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Deurne (Brabant)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Deux-Acren","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Pont 10, 7864 Lessines,BEL",,,"Created 10 records in table ""Full_Table"""
"Dhuy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 917, 5022 Namur,BEL",,,"Created 10 records in table ""Full_Table"""
"Diegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Diepenbeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Diest","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Diets-Heur","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dikkebus","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dikkele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dikkelvenne","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Diksmuide","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dilbeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dilsen-Stokkem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dinant","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 152, 5500 Dinant,BEL",,,"Created 10 records in table ""Full_Table"""
"Dion","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Dinant 4, 5570 Beauraing,BEL",,,"Created 10 records in table ""Full_Table"""
"Dion-Valmont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Bd du Centenaire 1, 1325 Chaumont-Gistoux,BEL",,,"Created 10 records in table ""Full_Table"""
"Dison","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Jard. Ecole 45, 4820 Dison,BEL",,,"Created 10 records in table ""Full_Table"""
"Dochamps","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chem. de Biertoumont 27, 6960,BEL",,,"Created 10 records in table ""Full_Table"""
"Doel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dohan","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte du Sati 2, 6836 Bouillon,BEL",,,"Created 10 records in table ""Full_Table"""
"Doische","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Martin Sandron 108, 5680 Doische,BEL",,,"Created 10 records in table ""Full_Table"""
"Dolembreux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Fond Leval 2, 4140 Sprimont,BEL",,,"Created 10 records in table ""Full_Table"""
"Donceel","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Templiers 6, 4357 Donceel,BEL",,,"Created 10 records in table ""Full_Table"""
"Dongelberg","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Vinaudrée 6, 1370,BEL",,,"Created 10 records in table ""Full_Table"""
"Donk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Donstiennes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue 't Serstevens 68, 6530 Thuin,BEL",,,"Created 10 records in table ""Full_Table"""
"Dorinne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Dr Gaston Therasse 1, 5530 Yvoir,BEL",,,"Created 10 records in table ""Full_Table"""
"Dormaal","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dottenijs","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Basse 9, 7711 Mouscron,BEL",,,"Created 10 records in table ""Full_Table"""
"Dottignies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Basse 9, 7711 Mouscron,BEL",,,"Created 10 records in table ""Full_Table"""
"Dour","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/7370 Dour,BEL",,,"Created 10 records in table ""Full_Table"""
"Dourbes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Bassidaine 4, 5670 Viroinval,BEL",,,"Created 10 records in table ""Full_Table"""
"Dranouter","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dréhance","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 152, 5500 Dinant,BEL",,,"Created 10 records in table ""Full_Table"""
"Driekapellen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Drieslinter","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Drogenbos","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Drongen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Dudzele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Duffel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Duisburg","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Duras","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Durbuy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. aux Foires 12, 6940 Durbuy,BEL",,,"Created 10 records in table ""Full_Table"""
"Durnal","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Dinant 13, 5530 Yvoir,BEL",,,"Created 10 records in table ""Full_Table"""
"Dworp","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eben-Emael","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Wérihet 25, 4690 Bassenge,BEL",,,"Created 10 records in table ""Full_Table"""
"Ebly","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Tannerie, 6860 Léglise,BEL",,,"Created 10 records in table ""Full_Table"""
"Ecaussinnes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Déportation 61a, 7190 Écaussinnes,BEL",,,"Created 10 records in table ""Full_Table"""
"Ecaussinnes-d'Enghien","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Déportation 61a, 7190 Écaussinnes,BEL",,,"Created 10 records in table ""Full_Table"""
"Ecaussinnes-Lalaing","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Déportation 61a, 7190 Écaussinnes,BEL",,,"Created 10 records in table ""Full_Table"""
"Edegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Edelare","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Edingen","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Montgomery 84, 7850 Enghien,BEL",,,"Created 10 records in table ""Full_Table"""
"Eeklo","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eernegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Egem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eggewaartskapelle","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"EghezéeEhein","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 917, 5022 Namur,BEL",,,"Created 10 records in table ""Full_Table"""
"Eigenbilzen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eindhout","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eine","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eisden","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Ekeren (Antwerpen)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eksaarde","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eksel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Elen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Elene","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Elewijt","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eliksem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Elingen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Ellemelle","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Sauvenière 57, 4590 Ouffet,BEL",,,"Created 5 records in table ""Full_Table"""
"Ellezelles","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Place 10, 7890 Ellezelles,BEL",,,"Created 10 records in table ""Full_Table"""
"Ellignies-lez-Frasnes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Haute 1, 7911 Frasnes-lez-Anvaing,BEL",,,"Created 5 records in table ""Full_Table"""
"Ellignies-Sainte-Anne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Monplaisir 2, 7972 Beloeil,BEL",,,"Created 10 records in table ""Full_Table"""
"Ellikom","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Elouges","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Commerce, 7370 Dour,BEL",,,"Created 10 records in table ""Full_Table"""
"Elsegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Elsenborn","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Trierer Str. 1, 4750 Bütgenbach,BEL",,,"Created 10 records in table ""Full_Table"""
"Elsene","bruxelles-capitale","bruxelles-capitale",,"https://fr.distance.to/Tournai,BEL/",,,
"Elst","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Elverdinge","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Elversele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Emblem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Embourg","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Voie de l'Ardenne 76/2, 4053 Chaudfontaine,BEL",,,"Created 10 records in table ""Full_Table"""
"Emelgem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Emines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Rhisnes 4, 5080 La Bruyère,BEL",,,"Created 10 records in table ""Full_Table"""
"Emptinne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Monseu 25, 5590 Ciney,BEL",,,"Created 10 records in table ""Full_Table"""
"Ename","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Engelmanshoven","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Enghien","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Montgomery 84, 7850 Enghien,BEL",,,"Created 10 records in table ""Full_Table"""
"Engis","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Joseph Wauters 4, 4480 Engis,BEL",,,"Created 7 records in table ""Full_Table"""
"Enines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Albert Drossart 14, 1350,BEL",,,"Created 10 records in table ""Full_Table"""
"Ensival","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/En Mi-Ville 13, 4800 Verviers,BEL",,,"Created 10 records in table ""Full_Table"""
"Epinois","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Charleroi 160, 7134 Binche,BEL",,,"Created 10 records in table ""Full_Table"""
"Eppegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Eprave","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Treux 4, 5580 Rochefort,BEL",,,"Created 10 records in table ""Full_Table"""
"Erbaut","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte d'Ath 136, 7050 Jurbise,BEL",,,"Created 10 records in table ""Full_Table"""
"Erbisoeul","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte d'Ath 136, 7050 Jurbise,BEL",,,"Created 10 records in table ""Full_Table"""
"Ere","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Taverne de Maire 7, 7503 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Erembodegem (Aalst)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Erezée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Combattants 18, 6997 Érezée,BEL",,,"Created 10 records in table ""Full_Table"""
"Ermeton-sur-Biert","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue d Anthée 17, 5644,BEL",,,"Created 4 records in table ""Full_Table"""
"Ernage","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Station 117, 5030 Gembloux,BEL",,,"Created 10 records in table ""Full_Table"""
"Erneuville","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Bastogne 5, 6970 Tenneville,BEL",,,"Created 10 records in table ""Full_Table"""
"Ernonheid","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Chalet 97a, 4920 Aywaille,BEL",,,"Created 10 records in table ""Full_Table"""
"Erondegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
